"Area","Family","Feature","Identifier","Dialects","Advertised","Implemented","TestCoverage","CurrentStatus","Priority","SpecRef","Source","Notes"
"SMB1","Metadata","Create Directory","SMB_COM_CREATE_DIRECTORY","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:55","Needs attribute and error-code verification."
"SMB1","Metadata","Delete Directory","SMB_COM_DELETE_DIRECTORY","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:56","Needs non-empty-directory and access-check coverage."
"SMB1","Metadata","Delete","SMB_COM_DELETE","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:59","Needs delete-on-close and share mode coverage."
"SMB1","Metadata","Rename","SMB_COM_RENAME","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:60","Needs wildcard and cross-directory behavior testing."
"SMB1","Metadata","NT Rename","SMB_COM_NT_RENAME","SMB1","yes","yes","sparse","partial","P2","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:81","Needs semantic comparison to Windows NT rename info levels."
"SMB1","Metadata","Query Information","SMB_COM_QUERY_INFORMATION","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:61","Needs DOS/NT attribute mapping verification."
"SMB1","Metadata","Set Attribute","SMB_COM_SETATTR","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:62","Needs timestamp and readonly/system bit coverage."
"SMB1","Metadata","Query Information2","SMB_COM_QUERY_INFORMATION2","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:88","Needs compatibility checks for returned time fields."
"SMB1","Metadata","Set Information2","SMB_COM_SET_INFORMATION2","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:89","Needs field-level validation against Windows clients."
"SMB1","Locking","Byte Range Locking","SMB_COM_LOCKING_ANDX","SMB1","yes","yes","sparse","partial","P2","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:63","Requires conflict, cancel, and large-lock coverage."
"SMB1","Transactions","Transaction","SMB_COM_TRANSACTION","SMB1","yes","yes","sparse","partial","P1","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:64","Critical umbrella path for mailslot, RAP, and named-pipe compatibility."
"SMB1","Transactions","Transaction2","SMB_COM_TRANSACTION2","SMB1","yes","yes","sparse","partial","P1","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:69","Needs subcommand-by-subcommand matrix and interop coverage."
"SMB1","Transactions","NT Transact","SMB_COM_NT_TRANSACT","SMB1","yes","partial","sparse","non-compliant","P0","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:77; src/protocol/smb1/smb1pdu.c:9947-10000","Audit already identified intentionally incomplete SMB1 surface."
"SMB1","Transactions","NT Transact Secondary","SMB_COM_NT_TRANSACT_SECONDARY","SMB1","yes","partial","sparse","non-compliant","P0","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:78; src/protocol/smb1/smb1pdu.c:10057-10065","Secondary request assembly needs full legacy client validation."
"SMB1","Search","Find","SMB_COM_FIND","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:85","Needs wildcard, resume key, and Unicode behavior coverage."
"SMB1","Search","Find Unique","SMB_COM_FIND_UNIQUE","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:86","Likely low-use but still part of enabled surface."
"SMB1","Search","Find Close2","SMB_COM_FIND_CLOSE2","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:70","Needs search handle lifecycle coverage."
"SMB1","Misc","Echo","SMB_COM_ECHO","SMB1","yes","yes","sparse","partial","P4","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:65","Simple path; low risk."
"SMB1","Policy","Default enablement","CONFIG_SMB1_ENABLED_BY_DEFAULT","SMB1","yes","n/a","n/a","non-compliant","P0","Project policy","Makefile:144-152","Current build policy exposes an incomplete SMB1 surface by default in external builds."
"SMB2/3","Dialect","SMB 2.0.2","SMB 2.0.2","2.0.2","yes","yes","moderate","partial","P2","MS-SMB2","src/protocol/smb2/smb2ops.c:14-39,237-239","Dialect is wired with its own version values and signing defaults."
"SMB2/3","Dialect","SMB 2.1","SMB 2.1","2.1","yes","yes","moderate","partial","P2","MS-SMB2","src/protocol/smb2/smb2ops.c:41-66,256-258","Needs full capability and lease interop sweep."
"SMB2/3","Dialect","SMB 3.0","SMB 3.0","3.0","yes","yes","moderate","partial","P1","MS-SMB2","src/protocol/smb2/smb2ops.c:68-94,282-284","Encryption/signing/durable interactions need validation."
"SMB2/3","Dialect","SMB 3.0.2","SMB 3.0.2","3.0.2","yes","yes","moderate","partial","P1","MS-SMB2","src/protocol/smb2/smb2ops.c:96-122,320-322","Needed for multichannel correctness and Windows 8.1 era clients."
"SMB2/3","Dialect","SMB 3.1.1","SMB 3.1.1","3.1.1","yes","yes","moderate","partial","P1","MS-SMB2","src/protocol/smb2/smb2ops.c:124-151,358-367","Negotiate context correctness is the major gap."
"SMB2/3","Core","Negotiate","SMB2_NEGOTIATE","2.0.2-3.1.1","yes","yes","moderate","partial","P0","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221; src/protocol/smb2/smb2_negotiate.c","Core path exists but several negotiated features are mis-signaled."
"SMB2/3","Core","Session Setup","SMB2_SESSION_SETUP","2.0.2-3.1.1","yes","yes","moderate","partial","P1","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Needs auth, binding, signing, and encryption interop hardening."
"SMB2/3","Core","Logoff","SMB2_LOGOFF","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Needs session teardown and channel cleanup coverage."
"SMB2/3","Core","Tree Connect","SMB2_TREE_CONNECT","2.0.2-3.1.1","yes","yes","moderate","partial","P2","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221; src/protocol/smb2/smb2_tree.c","Needs capability advertisement and IPC share verification."
"SMB2/3","Core","Tree Disconnect","SMB2_TREE_DISCONNECT","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Needs handle leak and pending-notify coverage."
"SMB2/3","Core","Create/Open","SMB2_CREATE","2.0.2-3.1.1","yes","yes","moderate","partial","P0","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221; src/protocol/smb2/smb2_create.c","High-risk path with durable, lease, POSIX, and AAPL context interactions."
"SMB2/3","Core","Close","SMB2_CLOSE","2.0.2-3.1.1","yes","yes","moderate","partial","P2","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Needs durable and deferred-close coverage."
"SMB2/3","Core","Flush","SMB2_FLUSH","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Needs durable-handle and sync semantics coverage."
"SMB2/3","Core","Read","SMB2_READ","2.0.2-3.1.1","yes","yes","moderate","partial","P2","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Needs channel sequence and encrypted transport coverage."
"SMB2/3","Core","Write","SMB2_WRITE","2.0.2-3.1.1","yes","yes","moderate","partial","P2","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Needs write-through, replay, and failure-injection coverage."
"SMB2/3","Core","Lock","SMB2_LOCK","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Needs overlapping-range and cancel behavior verification."
"SMB2/3","Core","IOCTL","SMB2_IOCTL","2.0.2-3.1.1","yes","yes","moderate","partial","P0","MS-SMB2; MS-FSCC","src/protocol/smb2/smb2ops.c:202-221; src/fs/ksmbd_fsctl.c","Compliance depends on each FSCTL row below."
"SMB2/3","Core","Query Directory","SMB2_QUERY_DIRECTORY","2.0.2-3.1.1","yes","yes","moderate","partial","P2","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Needs resume key and information-class coverage."
"SMB2/3","Core","Change Notify","SMB2_CHANGE_NOTIFY","2.0.2-3.1.1","yes","yes","sparse","partial","P1","MS-SMB2","src/protocol/smb2/smb2ops.c:221","Needs pending notify lifecycle, cancel, and directory-lease integration coverage."
"SMB2/3","Core","Query Info","SMB2_QUERY_INFO","2.0.2-3.1.1","yes","yes","moderate","partial","P1","MS-SMB2; MS-FSCC","src/protocol/smb2/smb2ops.c:202-221","Information-class breadth still needs matrix-driven validation."
"SMB2/3","Core","Set Info","SMB2_SET_INFO","2.0.2-3.1.1","yes","yes","moderate","partial","P1","MS-SMB2; MS-FSCC","src/protocol/smb2/smb2ops.c:202-221","Needs rename, disposition, allocation, POSIX, and security descriptor coverage."
"SMB2/3","Core","Echo","SMB2_ECHO","2.0.2-3.1.1","yes","yes","sparse","partial","P4","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221","Low risk."
"SMB2/3","Core","Cancel","SMB2_CANCEL","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-SMB2","src/protocol/smb2/smb2ops.c:202-221; src/protocol/smb2/smb2_pdu_common.c:1088-1161","Signing exemption logic exists but broader cancel semantics need coverage."
"SMB2/3","Core","Oplock Break","SMB2_OPLOCK_BREAK","2.0.2-3.1.1","yes","yes","sparse","partial","P1","MS-SMB2","src/protocol/smb2/smb2ops.c:220","Needs lease/oplock downgrade interop coverage."
"SMB2/3","Negotiate Context","Preauth Integrity","SMB2_PREAUTH_INTEGRITY_CAPABILITIES","3.1.1","yes","yes","moderate","partial","P1","MS-SMB2","src/protocol/smb2/smb2_pdu_common.c:1415-1452; src/protocol/smb2/smb2_session.c","Present for SMB 3.1.1 but must be validated across reconnect and binding flows."
"SMB2/3","Negotiate Context","Encryption Capabilities","SMB2_ENCRYPTION_CAPABILITIES","3.0-3.1.1","yes","yes","moderate","partial","P1","MS-SMB2","src/protocol/smb2/smb2ops.c:177-199; src/protocol/smb2/smb2_negotiate.c","Supported algorithms need truthfulness and interop coverage."
"SMB2/3","Negotiate Context","Signing Capabilities","SMB2_SIGNING_CAPABILITIES","3.1.1","yes","yes","moderate","partial","P1","MS-SMB2","src/protocol/smb2/smb2ops.c:361-367; src/protocol/smb2/smb2_pdu_common.c:1315-1408","Negotiated algorithm path exists; needs interoperability verification."
"SMB2/3","Negotiate Context","Compression Capabilities","SMB2_COMPRESSION_CAPABILITIES","3.1.1","yes","partial","moderate","partial","P0","MS-SMB2","src/protocol/smb2/smb2_negotiate.c:85-95,206-219,411-468","Negotiated common algorithm set is now preserved and non-spec LZ4 negotiation is gone, but NONE semantics and chained-capability signaling still need cleanup and interop proof."
"SMB2/3","Negotiate Context","Transport Capabilities","SMB2_TRANSPORT_CAPABILITIES","3.1.1","yes","yes","moderate","partial","P0","MS-SMB2","src/protocol/smb2/smb2_negotiate.c:132-140,267-275,539-551; src/transport/transport_quic.c","Response advertisement follows actual transport-owned secure state. QUIC listener bring-up is now delegate-gated and the userspace TLS 1.3 backend has direct regression proof, but full live QUIC interop is still not closed."
"SMB2/3","Negotiate Context","RDMA Transform Capabilities","SMB2_RDMA_TRANSFORM_CAPABILITIES","3.1.1","yes","partial","moderate","partial","P0","MS-SMB2","src/protocol/smb2/smb2_negotiate.c:109-129,554-595; src/transport/transport_rdma.c:1781-1794,2153-2189; src/protocol/smb2/smb2_read_write.c","ksmbd now suppresses RDMA transform negotiation and explicitly rejects SMB2 RDMA transform channels instead of silently misparsing them, but full RDMA transform crypto enforcement is still not implemented."
"SMB2/3","Session","Multichannel binding","SMB3_SESSION_BINDING","3.0-3.1.1","yes","yes","moderate","partial","P0","MS-SMB2","src/protocol/smb2/smb2_session.c:782-872; src/protocol/smb2/smb2_pdu_common.c:1242-1338","Targeted multichannel credit/bind flows now pass after fixing verifier-side request mutation during SESSION_SETUP signing checks; broader failover coverage is still pending."
"SMB2/3","Session","Credit management","SMB2_CREDITS","2.0.2-3.1.1","yes","yes","moderate","partial","P1","MS-SMB2","src/protocol/smb2/smb2_pdu_common.c; src/protocol/smb2/smb2_read_write.c; src/fs/ksmbd_fsctl.c; TESTS/SWEEP/logs/smb2.credits.log","The visible multichannel credit suites are green and async pipe teardown now decrements outstanding_async correctly, but high-concurrency correctness and fairness validation still need live proof."
"SMB2/3","Open Context","Extended Attributes","ExtA","2.0.2-3.1.1","no","yes","sparse","partial","P2","MS-SMB2","src/include/protocol/smb2pdu.h:651; src/protocol/smb2/smb2_create.c","Create context is parsed; needs behavioral validation."
"SMB2/3","Open Context","Security Descriptor","SecD","2.0.2-3.1.1","no","yes","sparse","partial","P1","MS-SMB2","src/include/protocol/smb2pdu.h:652; src/protocol/smb2/smb2_create.c","Needs SD round-trip and inheritance validation."
"SMB2/3","Open Context","Durable Handle Request v1","DHnQ","2.0.2-3.0.2","no","yes","moderate","partial","P1","MS-SMB2","src/include/protocol/smb2pdu.h:653; src/protocol/smb2/smb2_create.c:868-872,2847","Needs reconnect and failover interop coverage."
"SMB2/3","Open Context","Durable Handle Reconnect v1","DHnC","2.0.2-3.0.2","no","yes","moderate","partial","P1","MS-SMB2","src/include/protocol/smb2pdu.h:654; src/protocol/smb2/smb2_create.c:868-872","Needs reconnect state machine verification."
"SMB2/3","Open Context","Allocation Size","AlSi","2.0.2-3.1.1","no","yes","sparse","partial","P3","MS-SMB2","src/include/protocol/smb2pdu.h:655; src/protocol/smb2/smb2_create.c","Needs sparse/preallocation behavior coverage."
"SMB2/3","Open Context","Maximal Access","MxAc","2.0.2-3.1.1","no","yes","sparse","partial","P2","MS-SMB2","src/include/protocol/smb2pdu.h:656; src/protocol/smb2/smb2_create.c:2945-2961","Needs ACL and impersonation validation."
"SMB2/3","Open Context","Timewarp","TWrp","2.0.2-3.1.1","no","yes","sparse","partial","P2","MS-SMB2","src/include/protocol/smb2pdu.h:657; src/protocol/smb2/smb2_create.c:1275,1866","Snapshot semantics need explicit compatibility coverage."
"SMB2/3","Open Context","Query On Disk ID","QFid","2.0.2-3.1.1","no","yes","sparse","partial","P3","MS-SMB2","src/include/protocol/smb2pdu.h:658; src/protocol/smb2/smb2_create.c:2977-2985","Needs stable identity behavior validation."
"SMB2/3","Open Context","Lease v1","RqLs","2.1-3.1.1","no","yes","moderate","partial","P1","MS-SMB2","src/include/protocol/smb2pdu.h:659; src/protocol/smb2/smb2_create.c:2922-2945","Lease semantics remain a known instability area in local sweeps."
"SMB2/3","Open Context","Durable Handle Request v2","DH2Q","3.0-3.1.1","no","yes","moderate","partial","P0","MS-SMB2","src/include/protocol/smb2pdu.h:660; src/protocol/smb2/smb2_create.c:1546,3001-3013","smb2.durable-v2-open is now green on VM10, but durable-v2-delay and durable-v2-regressions still need refreshed closure in current CI."
"SMB2/3","Open Context","Durable Handle Reconnect v2","DH2C","3.0-3.1.1","no","yes","moderate","partial","P0","MS-SMB2","src/include/protocol/smb2pdu.h:661; src/protocol/smb2/smb2_create.c:1623-1642","Reconnect path is green inside smb2.durable-v2-open on VM10, but the broader durable-v2 regression set still needs rerun."
"SMB2/3","Leasing","Directory leases","DIRLEASE","3.0-3.1.1","implicit","yes","moderate","partial","P0","MS-SMB2","src/protocol/smb2/smb2_create.c; src/fs/ksmbd_notify.c","smb2.dirlease is now green on VM10 after the notify and recursive lease-fanout fixes, but related replay and lease-state stress still need broader proof."
"SMB2/3","Apple","AAPL create context","AAPL","2.1-3.1.1","no","yes","sparse","partial","P1","Apple SMB extensions","src/include/protocol/smb2pdu.h:667-904; src/protocol/smb2/smb2_create.c:2744-3075","Apple-specific capabilities exist but need macOS interoperability sweeps."
"SMB2/3","POSIX","POSIX extensions","POSIX","3.1.1","yes","yes","sparse","partial","P1","SMB3 POSIX extensions","src/include/protocol/smb2pdu.h:279,372-377,665,1580,1674-1675; src/protocol/smb2/smb2_create.c:1302,3040-3048","POSIX info classes and create context are present; full Linux/macOS client validation still needed."
"Transport","Core","TCP transport","TCP/445","SMB1-3.1.1","yes","yes","moderate","partial","P1","MS-SMB2; CIFS","src/transport/transport_tcp.c","Baseline transport still needs end-to-end compliance gating."
"Transport","Core","RDMA transport","SMB Direct","3.0-3.1.1","yes","partial","moderate","partial","P0","MS-SMBD","src/transport/transport_rdma.c; src/protocol/smb2/smb2_read_write.c","Transport exists and unsupported transform paths are now explicitly suppressed or rejected instead of falling through, but negotiate/signing/encryption interop truthfulness is not yet established."
"Transport","Core","QUIC transport","SMB over QUIC","3.1.1","yes","partial","moderate","partial","P0","MS-SMB2 Appendix C; RFC 9000/9001","src/transport/transport_quic.c; ksmbd-tools/mountd/quic_picotls.c","Kernel transport, Retry integrity, truthful listener gating, and a real picotls-backed userspace TLS 1.3 delegate are in place with direct regression coverage; live client interop is still open."
"FSCTL","Object ID","Get Object ID","FSCTL_GET_OBJECT_ID","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3061-3064","Needs exact output and xattr fallback compatibility validation."
"FSCTL","Object ID","Set Object ID","FSCTL_SET_OBJECT_ID","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3066-3069","Needs object-id persistence and error-code coverage."
"FSCTL","Object ID","Delete Object ID","FSCTL_DELETE_OBJECT_ID","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3071-3074","Needs delete semantics coverage."
"FSCTL","Object ID","Set Object ID Extended","FSCTL_SET_OBJECT_ID_EXTENDED","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3076-3079","Needs structure-validation compatibility checks."
"FSCTL","Object ID","Create Or Get Object ID","FSCTL_CREATE_OR_GET_OBJECT_ID","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3081-3084","Needs idempotence and persistence coverage."
"FSCTL","Compression","Get Compression","FSCTL_GET_COMPRESSION","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3086-3089","Needs semantics validation on filesystems without native compression."
"FSCTL","Compression","Set Compression","FSCTL_SET_COMPRESSION","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3091-3094","Needs exact status/value mapping validation."
"FSCTL","Network","Query Network Interface Info","FSCTL_QUERY_NETWORK_INTERFACE_INFO","3.0-3.1.1","yes","yes","moderate","partial","P1","MS-FSCC","src/fs/ksmbd_fsctl.c","RSS_CAPABLE is now tied to multichannel plus actual multi-queue support, and RDMA_CAPABLE remains gated on an active SMB Direct listener. Needs live transport proof, not more inventory."
"FSCTL","Resume Key","Request Resume Key","FSCTL_REQUEST_RESUME_KEY","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3101-3104","Needs ODX and durable handle integration validation."
"FSCTL","Sparse","Set Sparse","FSCTL_SET_SPARSE","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3106-3109","Needs allocation-state verification across filesystems."
"FSCTL","Copy","CopyChunk","FSCTL_COPYCHUNK","2.1-3.1.1","yes","yes","sparse","partial","P1","MS-FSCC","src/fs/ksmbd_fsctl.c:3111-3114,1232-1367","Needs token, resume-key, and max-chunk limit coverage."
"FSCTL","Copy","CopyChunk Write","FSCTL_COPYCHUNK_WRITE","2.1-3.1.1","yes","yes","sparse","partial","P1","MS-FSCC","src/fs/ksmbd_fsctl.c:3116-3119,1232-1367","Needs rights-check and partial-copy interop coverage."
"FSCTL","Extents","Duplicate Extents","FSCTL_DUPLICATE_EXTENTS_TO_FILE","3.0-3.1.1","yes","yes","sparse","partial","P1","MS-FSCC","src/fs/ksmbd_fsctl.c:3121-3124","Needs clone semantics validation per backing filesystem."
"FSCTL","Allocation","Set Zero Data","FSCTL_SET_ZERO_DATA","2.0.2-3.1.1","yes","yes","sparse","partial","P1","MS-FSCC","src/fs/ksmbd_fsctl.c:3126-3129","Needs sparse-hole and EOF edge-case validation."
"FSCTL","Allocation","Query Allocated Ranges","FSCTL_QUERY_ALLOCATED_RANGES","2.0.2-3.1.1","yes","yes","sparse","partial","P1","MS-FSCC","src/fs/ksmbd_fsctl.c:3131-3134,1820","Needs sparse file accuracy tests."
"FSCTL","Validation","Is Pathname Valid","FSCTL_IS_PATHNAME_VALID","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-FSCC","src/fs/ksmbd_fsctl.c:3136-3139","Low-risk but needs exact status behavior."
"FSCTL","Volume","Is Volume Dirty","FSCTL_IS_VOLUME_DIRTY","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-FSCC","src/fs/ksmbd_fsctl.c:3141-3144","Needs filesystem mapping validation."
"FSCTL","Volume","Allow Extended DASD IO","FSCTL_ALLOW_EXTENDED_DASD_IO","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-FSCC","src/fs/ksmbd_fsctl.c:3146-3149","Needs raw-volume access semantics review."
"FSCTL","Encryption","Encryption FSCTL IO","FSCTL_ENCRYPTION_FSCTL_IO","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3151-3154","Needs feature truthfulness versus actual encryption support."
"FSCTL","Volume","Filesystem Get Stats","FSCTL_FILESYSTEM_GET_STATS","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-FSCC","src/fs/ksmbd_fsctl.c:3156-3159,2000","Needs structure completeness validation."
"FSCTL","Identity","Find Files By SID","FSCTL_FIND_FILES_BY_SID","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3161-3164","Needs domain SID mapping and authorization validation."
"FSCTL","Volume","Get NTFS Volume Data","FSCTL_GET_NTFS_VOLUME_DATA","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3166-3169","Needs non-NTFS emulation compatibility review."
"FSCTL","Volume","Get Retrieval Pointers","FSCTL_GET_RETRIEVAL_POINTERS","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3171-3174","Needs extent mapping accuracy validation."
"FSCTL","Link Tracking","LMR Get Link Track Info","FSCTL_LMR_GET_LINK_TRACK_INF","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-FSCC","src/fs/ksmbd_fsctl.c:3176-3179","Low-use Windows feature; still part of surface."
"FSCTL","Link Tracking","LMR Set Link Track Info","FSCTL_LMR_SET_LINK_TRACK_INF","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-FSCC","src/fs/ksmbd_fsctl.c:3181-3184","Needs behavior validation."
"FSCTL","Volume","Lock Volume","FSCTL_LOCK_VOLUME","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3186-3189","Needs share-mode and open-handle interaction coverage."
"FSCTL","Named Pipe","Pipe Peek","FSCTL_PIPE_PEEK","2.0.2-3.1.1","yes","partial","moderate","partial","P0","MS-FSCC","src/fs/ksmbd_fsctl.c:3191-3194,726-758","No longer a zeroed stub: live RPC pipe state and pending response length are exposed, but full message-framing and Windows parity still need proof."
"FSCTL","Volume","Query FAT BPB","FSCTL_QUERY_FAT_BPB","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-FSCC","src/fs/ksmbd_fsctl.c:3196-3199","Needs compatibility review on non-FAT backing filesystems."
"FSCTL","Volume","Query Sparing Info","FSCTL_QUERY_SPARING_INFO","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-FSCC","src/fs/ksmbd_fsctl.c:3201-3204","Needs exact structure/status behavior validation."
"FSCTL","USN","Read File USN Data","FSCTL_READ_FILE_USN_DATA","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3206-3209","Needs journal emulation and status behavior validation."
"FSCTL","Encryption","Read Raw Encrypted","FSCTL_READ_RAW_ENCRYPTED","2.0.2-3.1.1","yes","yes","sparse","partial","P2","MS-FSCC","src/fs/ksmbd_fsctl.c:3211-3214","Needs truthfulness versus EFS support."
"FSCTL","Tiering","Recall File","FSCTL_RECALL_FILE","2.0.2-3.1.1","yes","yes","sparse","partial","P3","MS-FSCC","src/fs/ksmbd_fsctl.c:3216-3219","Needs HSM/tiering semantics review."
"FSCTL","Oplock","Request Batch Oplock","FSCTL_REQUEST_BATCH_OPLOCK","2.0.2-3.1.1","yes","yes","sparse","partial","P1","MS-FSCC","src/fs/ksmbd_fsctl.c:3221-3224","Must align with oplock/lease state machine behavior."
"FSCTL","Oplock","Request Filter Oplock","FSCTL_REQUEST_FILTER_OPLOCK","2.0.2-3.1.1","yes","yes","sparse","partial","P1","MS-FSCC","src/fs/ksmbd_fsctl.c:3226-3229","Needs downgrade/upgrade interop validation."
"FSCTL","Oplock","Request Oplock Level 1","FSCTL_REQUEST_OPLOCK_LEVEL_1","2.0.2-3.1.1","yes","yes","sparse","partial","P1","MS-FSCC","src/fs/ksmbd_fsctl.c:3231-3234","Needs legacy oplock behavior coverage."
