"Area","Scenario","Identifier","Dialects","Implemented","Evidence","CurrentStatus","PrimarySource","TestMapping","ObservedInterop","Notes"
"DurableV1","Oplock break during disconnected durable window","DHV1_OPLOCK_BREAK","2.0.2-3.1.1","yes","category + oplock code","partial","src/fs/oplock.c:530-709; src/fs/vfs_cache.c:1741-1766","tests/ksmbd-torture/categories/T27_durable_v1.sh:T27.10","No direct clean proof captured","One of the more fragile compatibility paths."
"DurableV2","DH2Q durable create with CreateGuid","DHV2_CREATE","3.x","yes","code + sweep + category","failing","src/protocol/smb2/smb2_create.c:1029-1066,2829-2860,2919-3036","tests/ksmbd-torture/categories/T28_durable_v2.sh:T28.01","TESTS/SWEEP/summary.txt:38,53 show smb2.durable-v2-open 8 or 7 pass / 25 fail","Durable v2 remains one of the clearest red areas."
"DurableV2","DH2C reconnect with matching CreateGuid","DHV2_RECONNECT","3.x","yes","code + sweep + category","failing","src/protocol/smb2/smb2_create.c:888-918,1623-1656; src/fs/vfs_cache.c:1875-1935","tests/ksmbd-torture/categories/T28_durable_v2.sh:T28.02","TESTS/SWEEP/summary.txt:38,53 show smb2.durable-v2-open failures/timeouts","Reconnect is present but not compliant enough."
"DurableV2","Wrong CreateGuid rejected","DHV2_WRONG_CREATEGUID","3.x","yes","code + category","partial","src/protocol/smb2/smb2_create.c:918-924","tests/ksmbd-torture/categories/T28_durable_v2.sh:T28.03","No clean local proof captured","Should return NOT_FOUND semantics consistently."
"DurableV2","Wrong ClientGuid rejected","DHV2_WRONG_CLIENTGUID","3.x","yes","code + category","partial","src/protocol/smb2/smb2_create.c:1047-1066","tests/ksmbd-torture/categories/T28_durable_v2.sh:T28.04","No clean local proof captured","ClientGuid identity semantics matter for failover compatibility."
"DurableV2","Second reconnect conflict rejected","DHV2_CONFLICT","3.x","yes","code + category","failing","src/protocol/smb2/smb2_create.c:1511-1607","tests/ksmbd-torture/categories/T28_durable_v2.sh:T28.12","TESTS/SWEEP/summary.txt:38,53 show smb2.durable-v2-open heavily failing","Conflict handling still needs work."
"DurableV2","Durable expiry timer cleanup","DHV2_TIMER_EXPIRY","3.x","yes","code + category","partial","src/fs/vfs_cache.c:1659-1766","tests/ksmbd-torture/categories/T28_durable_v2.sh:T28.08","Indirect only","Timer exists, but behavior under race and reconnect pressure still needs proof."
"DurableV2","AppInstanceId closes previous opens on same inode","DHV2_APP_INSTANCE","3.x","yes","code + category","partial","src/fs/ksmbd_app_instance.c:73-186,255-318","tests/ksmbd-torture/categories/T28_durable_v2.sh:T28.09","Indirect only","Useful for modern Windows app-instance semantics."
"DurableV2","Lease V2 epoch retained across reconnect","DHV2_EPOCH","3.x","yes","code + category","failing","src/fs/oplock.c:400-401,812-816; src/protocol/smb2/smb2_create.c:2882-2890","tests/ksmbd-torture/categories/T28_durable_v2.sh:T28.10","TESTS/SWEEP/logs/smb2.replay.log:73,82,91,100 show lease-state mismatch","Local replay evidence suggests epoch/new_state issues remain."
"DurableV2","Persistent handle request on CA share","DHV2_PERSISTENT","3.x CA","partial","category only","not proven","src/protocol/smb2/smb2_create.c:1623-1645","tests/ksmbd-torture/categories/T28_durable_v2.sh:T28.06,T28.07","Skipped in category due missing CA infra","Cannot claim compatibility without a CA environment."
"Resilient","FSCTL_LMR_REQUEST_RESILIENCY accepted on open handle","RESILIENT_REQUEST","2.1-3.1.1","yes","code + category","partial","src/fs/ksmbd_resilient.c:42-111","tests/ksmbd-torture/categories/T29_resilient.sh:T29.01","No direct local execution evidence","Feature exists but test coverage is mostly placeholder."
"Resilient","Timeout 0 maps to server default","RESILIENT_TIMEOUT_DEFAULT","2.1-3.1.1","yes","code + category placeholder","partial","src/fs/ksmbd_resilient.c:38-40,94-100","tests/ksmbd-torture/categories/T29_resilient.sh:T29.03","Not locally proven","Needs exact value verification."
"Resilient","Excessive timeout capped at maximum","RESILIENT_TIMEOUT_CAP","2.1-3.1.1","yes","code + category placeholder","partial","src/fs/ksmbd_resilient.c:38-40,79-96","tests/ksmbd-torture/categories/T29_resilient.sh:T29.04","Not locally proven","5-minute cap exists in code."
"Resilient","Input buffer too short rejected","RESILIENT_BUFFER_MIN","2.1-3.1.1","yes","code + category placeholder","partial","src/fs/ksmbd_resilient.c:67-75","tests/ksmbd-torture/categories/T29_resilient.sh:T29.08","Not locally proven","Straightforward contract but still needs negative-wire proof."
"Resilient","Lock sequence replay on resilient handle","RESILIENT_LOCK_SEQUENCE","2.1-3.1.1","yes","code + category","partial","src/protocol/smb2/smb2_lock.c:442-567","tests/ksmbd-torture/categories/T29_resilient.sh:T29.05","No direct clean proof captured","Must be proven with repeated disconnect/reconnect storms."
"Replay","Regular create replay ignored when not durable","REPLAY_REGULAR_CREATE","3.x","yes","sweep log","partial","src/protocol/smb2/smb2_create.c:1511-1607","TESTS/SWEEP/logs/smb2.replay.log","TESTS/SWEEP/logs/smb2.replay.log:19-23 success replay-regular","Good sign, but not enough for a green area."
"Replay","DHv2 replay with oplock variants","REPLAY_DHV2_OPLOCK","3.x","yes","sweep log","partial","src/protocol/smb2/smb2_create.c:1511-1607,2589-2597","TESTS/SWEEP/logs/smb2.replay.log","TESTS/SWEEP/logs/smb2.replay.log:24-45 show several success cases","There is meaningful positive evidence here."
"Replay","DHv2 replay with lease variants","REPLAY_DHV2_LEASE","3.x","yes","sweep log","failing","src/protocol/smb2/smb2_create.c:1511-1607,2882-2890","TESTS/SWEEP/logs/smb2.replay.log","TESTS/SWEEP/logs/smb2.replay.log:46-100 show success cases followed by new_lease_state mismatch","Replay is partly working but still non-compliant in lease transition details."
"Replay","Replay status for file-not-available cases","REPLAY_STATUS_FILE_NOT_AVAILABLE","3.x","yes","sweep log","failing","src/protocol/smb2/smb2_lock.c:548-567","TESTS/SWEEP/logs/smb2.replay.log","TESTS/SWEEP/logs/smb2.replay.log:112,136 show incorrect STATUS_OK / STATUS_IO_TIMEOUT","Status-code mismatches are client-visible compatibility defects."
"Replay","Replay status for access-denied cases","REPLAY_STATUS_ACCESS_DENIED","3.x","yes","sweep log","failing","src/protocol/smb2/smb2_lock.c:548-567","TESTS/SWEEP/logs/smb2.replay.log","TESTS/SWEEP/logs/smb2.replay.log:124,148 show incorrect STATUS_OK / STATUS_IO_TIMEOUT","Another concrete defect area."
"Notify","CHANGE_NOTIFY async request and basic delivery","NOTIFY_BASIC","2.0.2-3.1.1","yes","code + sweep + category","failing","src/protocol/smb2/smb2_notify.c:50-66; src/fs/ksmbd_notify.c","tests/ksmbd-torture/categories/T26_notify.sh:T26.01-T26.06","TESTS/SWEEP/summary.txt:70,80 show smb2.notify timeout/failure evidence","Notify remains unstable under local sweep."
"Notify","Recursive watch tree","NOTIFY_WATCH_TREE","2.0.2-3.1.1","yes","category","partial","src/fs/ksmbd_notify.c","tests/ksmbd-torture/categories/T26_notify.sh:T26.08","No clean local proof captured","Needs explicit Windows/macOS behavior comparison."
"Notify","Cancel pending notify","NOTIFY_CANCEL","2.0.2-3.1.1","yes","category","partial","src/fs/vfs_cache.c:667-685","tests/ksmbd-torture/categories/T26_notify.sh:T26.09,T26.13","No clean local proof captured","Cancellation semantics are timing-sensitive."
"Notify","Overflow returns enum-dir semantics","NOTIFY_OVERFLOW","2.0.2-3.1.1","yes","category","partial","src/fs/ksmbd_notify.c","tests/ksmbd-torture/categories/T26_notify.sh:T26.10","No clean local proof captured","Needs status-code proof."
"Notify","Session reconnect and compound FID handling","NOTIFY_SESSION_RECONNECT","2.0.2-3.1.1","yes","code + category","partial","src/protocol/smb2/smb2_notify.c:57-66","tests/ksmbd-torture/categories/T26_notify.sh:T26.15","No clean local proof captured","Good candidate for a dedicated focused regression suite."
"Multichannel","SMB3 session binding on secondary connection","MC_SESSION_BIND","3.0-3.1.1","yes","code + category","partial","src/protocol/smb2/smb2_session.c:800-862","tests/ksmbd-torture/categories/T02_session.sh:T02.34; T53_multichannel.sh","Most local multichannel tests are skipped due infra; earlier code had 3.1.1-only bug","Patched in-tree this turn, but not validated."
"Multichannel","Cross-connection notify visibility","MC_NOTIFY_CROSS_CONN","3.x","partial","category only","not proven","src/protocol/smb2/smb2_notify.c; src/fs/ksmbd_notify.c","tests/ksmbd-torture/categories/T53_multichannel.sh:T53.13","No local execution evidence","Observable multichannel semantics remain largely unproven."
