"Area","Feature","ProtocolScope","Harness","TestOrSuite","EvidenceSource","ObservedResult","Confidence","CurrentStatus","Notes"
"SMB2 Core","Charset / encoding","SMB2/SMB3","smbtorture sweep","smb2.charset","TESTS/SWEEP/summary.txt","0 pass / 4 fail","high","failing","Encoding compatibility is not clean."
"SMB2 Core","DOS mode / attributes","SMB2/SMB3","smbtorture sweep","smb2.dosmode, smb2.winattr, smb2.winattr2","TESTS/SWEEP/summary.txt and logs","dosmode failures exist; winattr logs present but not yet normalized into pass/fail rows","medium","partial","Attribute semantics still need a dedicated proof table."
"SMB2 Core","EA support","SMB2/SMB3","smbtorture sweep","smb2.ea","TESTS/SWEEP/summary.txt","0 pass / 1 fail","high","failing","EA compatibility is still red."
"SMB2 Core","ACL semantics","SMB2/SMB3","smbtorture sweep","smb2.acls, smb2.acls_non_canonical","TESTS/SWEEP/summary.txt","0 pass / 1 fail in both ACL suites","high","failing","Security descriptor parity remains incomplete."
"SMB2 Core","Delete-on-close permissions","SMB2/SMB3","smbtorture sweep","smb2.delete-on-close-perms","TESTS/SWEEP/summary.txt","8 pass / 1 fail","medium","partial","Close to usable, not perfect."
"SMB2 Core","Name mangling","SMB2/SMB3","smbtorture sweep","smb2.name-mangling","TESTS/SWEEP/summary.txt","0 pass / 2 fail or timeout","high","failing","Legacy name mangling compatibility needs work."
"Leases","Lease suite","SMB2.1+","live VM10 run","smb2.lease","live VM10 run 2026-03-08","Most lease subtests now pass, but breaking3, v2_breaking3, and v2_complex1 still fail with break-count, epoch, and transport-association mismatches","high","failing","This is the main remaining SMB2/3 state-machine red area."
"Leases","Directory lease suite","SMB3.x","live VM10 run","smb2.dirlease","live VM10 run 2026-03-08","Full smb2.dirlease suite passed on VM10","high","passing","Directory-lease behavior is no longer a current red row in this branch."
"Durable Handles","Durable v1 suite","SMB2.0.2+","smbtorture sweep","smb2.durable-open, smb2.durable-open-disconnect","TESTS/SWEEP/summary.txt","13 pass / 12 fail / 1 skip plus one disconnect-only positive row","high","failing","Present but far from clean."
"Durable Handles","Durable v2 suite","SMB3.x","mixed live + prior sweep","smb2.durable-v2-open, smb2.durable-v2-delay, smb2.durable-v2-regressions","live VM10 run 2026-03-08 plus earlier local sweep artifacts","smb2.durable-v2-open is now green on VM10, including durable-v2-setinfo; durable-v2-delay was already passing; durable-v2-regressions still needs a refreshed directed run","high","partial","The durable-v2 core open path is no longer red, but the full durable-v2 compatibility cluster is not fully re-proven yet."
"Replay","Replay suite","SMB3.x","smbtorture sweep","smb2.replay","TESTS/SWEEP/logs/smb2.replay.log","Several replay cases succeed, but lease-state and NTSTATUS mismatches remain","high","failing","Replay is partially implemented, not compliant."
"Named Pipes","Basic IPC$ and pipe open","SMB1/SMB2 IPC$","category tests","T39_pipes.sh, T56_pipe_rpc.sh","tests/ksmbd-torture/categories","Local category definitions exist; no current turn execution evidence","low","not run","Pipe surface is defined, but proof is missing."
"Named Pipes","Pipe transceive / RPC bind-request-response","SMB1/SMB2 IPC$","mixed source + userspace regression","T39.07-T39.08, T56.07-T56.12","tests/ksmbd-torture/categories plus ksmbd-tools rpc-pipe regression","Tests exist, and current source now has async transceive completion plus RPC pipe state cleanup; direct rpc-pipe userspace regressions pass, but on-wire category suites were not rerun in this turn","medium","partial","FSCTL_PIPE_TRANSCEIVE is no longer limited to synchronous success/error behavior."
"RPC","srvsvc / wkssvc / samr / lsarpc exposure","DCE/RPC over SMB pipes","category tests","T56.02-T56.06","tests/ksmbd-torture/categories","Category coverage exists; no normalized result evidence in local sweep artifacts","low","not run","Need actual rpcclient and smbtorture runs per interface."
"SMB1","Basic NT1 negotiate / session / tree / open","SMB1","category tests","T40_smb1.sh","tests/ksmbd-torture/categories","Tests exist, but local results are absent and SMB1 may be disabled in some configs","low","not run","Cannot claim SMB1 compatibility from current evidence."
"SMB1","SMB1 to SMB2 upgrade path","SMB1->SMB2 wildcard","category tests","T40.06, T58.06","tests/ksmbd-torture/categories","Planned tests exist, no current turn execution evidence","low","not run","Still important because clients may start in SMB1 negotiation mode."
"SMB1","NT_TRANSACT coverage","SMB1","category tests","T40.10","tests/ksmbd-torture/categories","Only category intent exists; no structured pass/fail artifact","low","not run","NT_TRANSACT_SECONDARY remains unimplemented."
"Cross-Dialect","SMB2.0.2 write read via SMB3.1.1","SMB2<->SMB3","category tests","T58.01","tests/ksmbd-torture/categories/T58_interop.sh","Interop scenarios are well-defined locally but not executed in this turn","low","not run","Good future ledger target."
"Cross-Dialect","SMB3.1.1 write read via SMB2.0.2","SMB2<->SMB3","category tests","T58.02","tests/ksmbd-torture/categories/T58_interop.sh","Not executed in this turn","low","not run","Needed for true compatibility claim."
"Cross-Dialect","Large file integrity across dialects","SMB2<->SMB3","category tests","T58.03","tests/ksmbd-torture/categories/T58_interop.sh","Not executed in this turn","low","not run","Should become a CI gate."
"Cross-Dialect","ACL / EA / timestamp / filename interop","SMB1/2/3 mixed","category tests","T58.09-T58.15","tests/ksmbd-torture/categories/T58_interop.sh","Tests exist but no local run evidence","low","not run","These are essential for a broad compatibility claim."
"QUIC","Basic connect / negotiate / session setup","SMB over QUIC","mixed direct userspace test + category tests","T33.01-T33.03","tests/ksmbd-torture/categories/T33_quic.sh plus ksmbd-tools quic-picotls regression","A real picotls-backed TLS 1.3 handshake backend now passes direct userspace regression, but live QUIC listener interoperability in the VM harness is not yet refreshed in this matrix","high","partial","No longer blocked at the delegate implementation layer; still open at end-to-end transport proof."
"QUIC","Read / write / large transfer","SMB over QUIC","category tests","T33.04-T33.06","tests/ksmbd-torture/categories/T33_quic.sh","Category coverage exists, and the in-tree QUIC delegate/backend is now real rather than failure-only, but no refreshed live transfer run is attached here yet","medium","not run","Transport validation remains open."
"QUIC","Reconnect / certificate validation / concurrent streams","SMB over QUIC","category tests","T33.07-T33.10","tests/ksmbd-torture/categories/T33_quic.sh","Still not rerun against a live QUIC listener after the new delegate integration","medium","not run","Cannot claim production compatibility without this."
"RDMA","SMB Direct connection / credits / transforms","SMB Direct (RDMA)","source review + targeted build proof","transport_rdma.c only","src/transport/transport_rdma.c plus smb2_read_write.c","Local source shows transport implementation, explicit transform suppression/refusal, and new rejection of unnegotiated SMB2 RDMA transform channels; no local RDMA interop artifacts were found","medium","partial","Advertised features are now conservative, but real SMB Direct interop is still missing."
"Apple","AAPL create context and capabilities","SMB2/3 + AAPL","category tests","T34.01-T34.02","tests/ksmbd-torture/categories/T34_fruit.sh","Local category intent exists; no recent run evidence","low","not run","Current code deliberately suppresses unsupported bits."
"Apple","Resource fork / AFP_AfpInfo / model string","SMB2/3 + AAPL","category tests","T34.03-T34.05","tests/ksmbd-torture/categories/T34_fruit.sh","Not executed in this turn","low","not run","macOS-specific proof remains missing."
"Apple","Time Machine / copyfile / POSIX rename / disabled mode","SMB2/3 + AAPL","category tests","T34.06-T34.10","tests/ksmbd-torture/categories/T34_fruit.sh","Mostly placeholder or infra-dependent","low","not run","Do not overstate macOS compatibility."
"DFS","DFS referral FSCTL and namespace behavior","SMB2 DFS","category tests","T35_dfs.sh, T57_dfs_referral.sh","tests/ksmbd-torture/categories","Test inventory exists, no normalized result artifact in this turn","low","not run","SMB1 DFS referral is still unimplemented."
"VSS","Snapshot / timewarp behavior","SMB2/3 + VSS","category tests","T36_vss.sh","tests/ksmbd-torture/categories","Category exists, no local execution evidence","low","not run","Still dependent on snapshot infrastructure."
"Reparse","Set / get / delete reparse point","SMB2/3","category tests","T41_reparse.sh","tests/ksmbd-torture/categories","Category exists, no local execution evidence","low","not run","Needs Windows client interop in addition to local tests."
"Quota","SMB2 quota info and SMB1 NT quota transact","SMB1/SMB2/SMB3","category tests","T42_quota.sh","tests/ksmbd-torture/categories","Tests are currently skip-oriented due infra prerequisites","medium","not proven","Quota cannot be claimed until infra-backed tests run."
"RSVD","Shared VHDX and tunnel requests","SMB3.x","category tests","T50_rsvd.sh","tests/ksmbd-torture/categories","Category exists, no local execution evidence","low","not run","Specialized feature area remains unproven."
"Transport","TCP transport semantics","SMB2/SMB3","category tests","T48_transport.sh","tests/ksmbd-torture/categories","Test inventory exists, but current audit turn did not execute it","low","not run","Transport truthfulness is still a major audit theme."
"Multichannel","Session binding and failover","SMB3 multichannel","targeted live VM10 run","smb2.credits.multichannel_max_async_credits, smb2.credits.multichannel_ipc_max_async_credits","live VM10 runs 2026-03-08","Targeted multichannel binding and async-credit cases now pass after fixing request-signature mutation during SESSION_SETUP verification","high","partial","The known session-binding defect is fixed and proven for targeted multichannel credit flows, but broader T53 failover coverage is still not run."
