"Command","FieldOrRule","Identifier","Dialects","Direction","ValidationType","Implemented","TestCoverage","CurrentStatus","SpecRef","Source","Notes"
"QUERY_INFO","EA input buffer range within request","QINFO_EA_INPUT_BOUNDS","2.0.2-3.1.1","request","bounds","yes","indirect","partial","MS-FSCC EA query contract","src/protocol/smb2/smb2_query_set.c:214-223","Bounds-checks InputBufferOffset + InputBufferLength."
"QUERY_INFO","EA input buffer 2-byte aligned","QINFO_EA_INPUT_ALIGN","2.0.2-3.1.1","request","alignment","yes","indirect","partial","UTF-16LE alignment rule","src/protocol/smb2/smb2_query_set.c:224-227","Alignment is enforced before EaName access."
"QUERY_INFO","EaNameLength must be non-zero and in-bounds","QINFO_EA_NAME_BOUNDS","2.0.2-3.1.1","request","bounds","yes","indirect","partial","MS-FSCC EA query contract","src/protocol/smb2/smb2_query_set.c:229-231","Prevents truncated EA-name parsing."
"SET_INFO","BufferOffset and BufferLength within request","SINFO_BUFFER_RANGE_BOUNDS","2.0.2-3.1.1","request","bounds","yes","direct","partial","MS-SMB2 2.2.39","src/protocol/smb2/smb2_query_set.c:3980-3999","Protects set-info handlers from malformed body offsets."
"SET_INFO","ChannelSequence validated for open handle","SINFO_CHANNEL_SEQUENCE","3.x","request","state contract","yes","indirect","partial","MS-SMB2 3.3.5.2.10","src/protocol/smb2/smb2_query_set.c:4025-4031","Required when multichannel is in use."
"CHANGE_NOTIFY","Notify must be the last compounded request","NOTIFY_LAST_IN_COMPOUND","2.0.2-3.1.1","request","compound contract","yes","direct","partial","MS-SMB2 3.3.5.19","src/protocol/smb2/smb2_notify.c:50-55","Matches Windows split between first-request and subsequent-request error codes."
"CHANGE_NOTIFY","Compound FID propagation when notify follows create","NOTIFY_COMPOUND_FID_PROP","2.0.2-3.1.1","request","compound contract","yes","sparse","partial","MS-SMB2 compound request semantics","src/protocol/smb2/smb2_notify.c:57-66","There is dedicated test intent, but proof remains sparse."
"CLOSE","Flags limited to 0x0000 or POSTQUERY","CLOSE_FLAGS_ENUM","2.0.2-3.1.1","request","enum/value","yes","indirect","partial","MS-SMB2 2.2.15","src/protocol/smb2/smb2_misc_cmds.c:171-173","Rejects undefined close flag values."
"LOCK","Replay detection only for resilient/durable/persistent handles","LOCK_REPLAY_SCOPE","2.1-3.1.1","request","state contract","yes","direct","partial","MS-SMB2 3.3.5.14","src/protocol/smb2/smb2_lock.c:442-472","Replay logic exists, but sweep logs still show status mismatches."
"LOCK","Replay hit returns success without reapplying lock","LOCK_REPLAY_SHORT_CIRCUIT","2.1-3.1.1","request","replay semantic","yes","direct","partial","MS-SMB2 3.3.5.14","src/protocol/smb2/smb2_lock.c:450-454,548-551","Needs focused negative and race testing."
"LOCK","ChannelSequence validated for lock requests","LOCK_CHANNEL_SEQUENCE","3.x","request","state contract","yes","indirect","partial","MS-SMB2 3.3.5.2.10","src/protocol/smb2/smb2_lock.c:564-567","Critical for resilient and multichannel lock correctness."
"READ/WRITE","ChannelSequence validated for stateful file operations","RW_CHANNEL_SEQUENCE","3.x","request","state contract","yes","indirect","partial","MS-SMB2 3.3.5.2.10","src/protocol/smb2/smb2_read_write.c:509,1001,1239","Validation is spread across read, write, and flush-like paths."
"TRANSFORM_HEADER","Flags must equal 0x0001","TRANSFORM_FLAGS_ENCRYPTED_ONLY","3.x encrypted","request","enum/value","yes","indirect","partial","MS-SMB2 2.2.41","src/protocol/smb2/smb2_pdu_common.c:1587-1594","Malformed encrypted wrappers are rejected before decrypt path proceeds."
