"Area","Feature","Identifier","SpecFamily","SpecSection","ServerRule","Source","EvidenceType","Notes"
"SMB2 CREATE","DHv2 replay behavior","SPEC_CREATE_DHV2_REPLAY","MS-SMB2","3.3.5.9.10-3.3.5.9.12","Replay requests for durable-v2 creates must return cached results when parameters match and replay semantics apply.","src/protocol/smb2/smb2_create.c:1055-1057,1511-1607,2882-2890","direct code comment","Local replay logs still show semantic mismatches."
"SMB2 LOCK","Replay detection on durable/resilient handles","SPEC_LOCK_REPLAY_SEQUENCE","MS-SMB2","3.3.5.14","Lock sequence numbers must be tracked for resilient, durable, and persistent handles to identify replayed lock requests.","src/protocol/smb2/smb2_lock.c:442-454,471-510,548-551","direct code comment","Important to preserve idempotence after reconnect."
"SMB2 SET_INFO","POSIX delete semantics","SPEC_SETINFO_POSIX_DELETE","MS-FSCC","2.4.12","With FILE_DISPOSITION_POSIX_SEMANTICS, the file should be unlinked from the namespace immediately while handles remain valid.","src/protocol/smb2/smb2_query_set.c:3514-3519","direct code comment","A Linux-hosted server has to bridge this carefully."
"SMB2 SET_INFO","POSIX rename semantics","SPEC_SETINFO_POSIX_RENAME","MS-FSCC","2.4.41 / POSIX extension behavior","POSIX rename semantics allow atomic replacement behavior distinct from Windows rename restrictions.","src/protocol/smb2/smb2_query_set.c:2413-2415,2703-2705","direct code comment","This is a compatibility-sensitive Linux extension area."
"SMB1 NT_CREATE_ANDX","FileType encoding","SPEC_SMB1_NTCREATE_FILETYPE","MS-SMB","2.2.4.9.1","FileType 0 means disk file or directory; named pipes are handled separately.","src/protocol/smb1/smb1pdu.c:3331-3336","direct code comment","The pipe split matters for SMB1 RPC compatibility."
"SMB1 CLOSE","LastWriteTime on close","SPEC_SMB1_CLOSE_LASTWRITE","MS-SMB","2.2.4.5","If LastWriteTime is nonzero and not -1, the server should set it before close.","src/protocol/smb1/smb1pdu.c:3479-3488","direct code comment","Often ignored by Linux clients, but Windows clients depend on it."
"SMB1 NT_TRANSACT_CREATE","Minimum parameter block size","SPEC_SMB1_NTTRANSACT_CREATE_MIN","MS-SMB","2.2.4.79.1","NT_TRANSACT_CREATE parameter block is 57 bytes and must be present before field access.","src/protocol/smb1/smb1pdu.c:9843-9895","direct code comment","Good parser hardening, still needs full interop proof."
"SMB1 TRANS2","Offset bounds before sub-dispatch","SPEC_SMB1_TRANS2_OFFSET_BOUNDS","MS-SMB / MS-CIFS","security requirement noted near 5.4","ParameterOffset and DataOffset must remain within the received packet before any sub-handler dereference.","src/protocol/smb1/smb1pdu.c:8306-8325","direct code comment","Practical security and compatibility rule for malformed legacy clients."
"SMB1 AndX","Forward progress and bounded chain depth","SPEC_SMB1_ANDX_CHAIN_PROGRESS","CIFS/NT LM SMB","AndX chaining rules","Each AndX hop must move forward, stay within the packet, and terminate; loops are invalid.","src/protocol/smb1/smb1pdu.c:300-341","inferred from parser implementation","No exact spec paragraph is cited in-tree, but the wire rule is explicit in parser logic."
"SMB1 NT_TRANSACT_SECONDARY","Multi-fragment legacy transact support","SPEC_SMB1_NTTRANSACT_SECONDARY","MS-SMB","NT_TRANSACT secondary flow","Secondary fragments are required for large NT transact requests; ksmbd currently returns STATUS_NOT_SUPPORTED.","src/protocol/smb1/smb1pdu.c:10370-10382","direct code comment","This is a clear compliance gap rather than a documented implementation choice."
"SMB Direct","Transport negotiation timeout","SPEC_SMBD_NEGOTIATE_TIMEOUT","MS-SMBD","3.1.1.1","Transport negotiate waits are bounded by the SMB Direct negotiation timeout.","src/transport/transport_rdma.c:41,296,1339","code constant + comments","The timeout is implemented; end-to-end interop proof is still missing."
"SMB Direct","Credit accounting invariant","SPEC_SMBD_CREDIT_INVARIANT","MS-SMBD","credit management rules","Receive credits plus available receive messages should equal recv_credit_max while connected.","src/transport/transport_rdma.c:178-188,704-815","direct code comment","This is an implementation invariant with protocol consequences."
"SMB over QUIC","No RFC1002 prefix on QUIC","SPEC_QUIC_NO_RFC1002","MS-SMB2 Appendix C / RFC 9443","Appendix C","SMB over QUIC carries raw SMB frames and must not include the 4-byte NetBIOS session prefix.","src/transport/transport_quic.c:22-24,2228-2279","direct code comment","One of the most important transport-surface differences."
"SMB over QUIC","Single SMB stream mapping","SPEC_QUIC_STREAM0","MS-SMB2 Appendix C / RFC 9443","Appendix C","Each SMB session maps to one bidirectional QUIC stream, implemented here as stream ID 0.","src/transport/transport_quic.c:23,2241,3512","direct code comment","Future interop has to validate stream discipline."
"SMB over QUIC","Connection state machine","SPEC_QUIC_STATE_MACHINE","RFC 9000 / RFC 9001","RFC 9000 state handling","Connections move through INITIAL, HANDSHAKE, CONNECTED, CLOSING, CLOSED states.","src/transport/transport_quic.c:195-200,3181,3283,2523-2535","direct code comment","Transport compliance should eventually be proven with packet capture."
